"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"公司代號","公司名稱","營業收入","營業成本","營業毛利(毛損)","聯屬公司間未實現利益","聯屬公司間已實現利益","營業費用","營業淨利(淨損)","營業外收入及利益","營業外費用及損失","繼續營業單位稅前淨利(淨損)","所得稅(費用)利益","繼續營業單位淨利(淨損)","停業單位損益","非常損益","會計原則變動累積影響數","合併前非屬共同控制股權損益","本期淨利(淨損)","基本每股盈餘"
"6117","迎廣科技","          2898348","          2620872","            277476","              7366","              5000","            256528","             18582","             48903","             16391","             51094","             -2769","             53863","                  0","                  0","                  0","                  0","             53863","                  0.62"
"6120","達運","         21684780","         20675617","          1009163","              3057","                  0","            872512","            133594","            978746","             64996","          1047344","             18668","          1028676","                  0","                  0","                  0","                  0","          1028676","                  2.25"
"6128","上福全球","          1705468","          1019476","            685992","              5376","              6517","            291593","            395540","             15511","             29754","            381297","             66446","            314851","                  0","                  0","                  0","                  0","            314851","                  3.60"
"6131","悠克國際","          1639155","          1335208","            303947","             15244","             26951","            188352","            127302","             15155","             56496","             85961","             25815","             60146","                  0","                  0","                  0","                  0","             60146","                  0.57"
"6133","金橋科技","            945825","            816621","            129204","                  0","                  0","            118621","             10583","             14208","             59194","            -34403","             -7300","            -27103","                  0","                  0","                  0","                  0","            -27103","                 -0.26"
"6136","富爾特","            928104","            640634","            287470","                  0","                  0","            260467","             27003","            406430","              4525","            428908","             30891","            398017","                  0","                  0","                  0","                  0","            398017","                  3.79"
"6139","亞翔工程","          4546140","          3821975","            724165","                  0","                  0","            228547","            495618","            274632","             24069","            746181","            133437","            612744","                  0","                  0","                  0","                  0","            612744","                  3.25"
"6141","柏承科技","          1085151","            917620","            167531","                  0","                  0","             73877","             93654","            174019","             26813","            240860","             17408","            223452","                  0","                  0","                  0","                  0","            223452","                  1.61"
"6142","友勁科技","         13656770","         12710850","            945920","             -1864","                  0","            936899","             10885","            316740","             98649","            228976","             34679","            194297","                  0","                  0","                  0","                  0","            194297","                  0.76"
"6152","百一電子","          8515135","          7639324","            875811","                  0","                  0","            417110","            458701","            187225","            181282","            464644","             79214","            385430","                  0","                  0","                  0","                  0","            385430","                  2.53"
"6153","嘉聯益","          6370835","          5402894","            967941","                  0","                  0","            742205","            225736","            938069","             65045","          1098760","            124000","            974760","                  0","                  0","                  0","                  0","            974760","                  3.04"
"6155","鈞寶","            586150","            388122","            198028","                  0","              1159","             74987","            124200","             46133","             31908","            138425","             17400","            121025","                  0","                  0","                  0","                  0","            121025","                  1.52"
"6164","華興電子","          1318020","          1009554","            308466","             14117","             13192","            156706","            150835","             77850","             80335","            148350","             27727","            120623","                  0","                  0","                  0","                  0","            120623","                  1.02"
"6165","捷泰精密","            643496","            559291","             84205","                745","              2066","             88617","             -3091","             14720","            138821","           -127192","               -507","           -126685","                  0","                  0","                  0","                  0","           -126685","                 -1.31"
"6166","凌華科技","          3589269","          2225826","          1363443","             18629","                  0","            757765","            587049","            151832","             60214","            678667","             79101","            599566","                  0","                  0","                  0","                  0","            599566","                  5.05"
"6168","宏齊科技","          3748512","          3037666","            710846","             -3687","               -386","            370675","            343472","             62380","            132820","            273032","             53231","            219801","                  0","                  0","                  0","                  0","            219801","                  1.14"
"6172","互億科技","            491435","            464182","             27253","                  0","                  0","            114703","            -87450","             78408","             48254","            -57296","              1019","            -58315","                  0","                  0","                  0","                  0","            -58315","                 -0.67"
"6176","瑞儀光電","          3597216","          3866481","           -269265","                -92","               -469","            571393","           -841035","          3757753","            184098","          2732620","            144023","          2588597","             11649","                  0","                  0","                  0","          2600246","                  6.11"
"6177","達麗","          2465339","          1855213","            610126","                  0","                  0","            193275","            416851","              4490","             66687","            354654","              5149","            349505","                  0","                  0","                  0","                  0","            349505","                  4.57"
"6183","關貿","          1061474","            587307","            474167","                  0","                  0","            287666","            186501","             21949","             13727","            194723","             24724","            169999","                  0","                  0","                  0","                  0","            169999","                  1.13"
"6184","大豐電","            649263","            267816","            381447","                  0","                  0","            107686","            273761","             73360","                 69","            347052","             48956","            298096","                  0","                  0","                  0","                  0","            298096","                  4.81"
"6189","豐藝電子","         19045273","         17738442","          1306831","                  0","                  0","            764951","            541880","             21982","             90246","            473616","             76884","            396732","                  0","                  0","                  0","                  0","            396732","                  2.22"
"6191","精成科技","         28233958","         27581900","            652058","                  0","                  0","            360777","            291281","            449266","             79687","            660860","             40790","            620070","                  0","                  0","                  0","                  0","            620070","                  1.36"
"6192","巨路國際","          4330596","          3372029","            958567","                687","                  0","            494708","            463172","            233166","             36942","            659396","            104677","            554719","                  0","                  0","                  0","                  0","            554719","                  5.40"
"6196","帆宣科技","          8237938","          7283574","            954364","                  0","                  0","            793262","            161102","            130140","            116756","            174486","             31495","            142991","                  0","                  0","                  0","                  0","            142991","                  0.88"
"6197","佳必琪","          3264841","          2917892","            346949","                  0","                  0","            219541","            127408","             12475","             38479","            101404","              7196","             94208","                  0","                  0","                  0","                  0","             94208","                  0.58"
"6201","亞弘電","          3922142","          3350735","            571407","              2497","              2918","            233382","            338446","              9848","            106504","            241790","             39013","            202777","                  0","                  0","                  0","                  0","            202777","                  2.27"
"6202","盛群","          3849472","          2059524","          1789948","              9319","                  0","          1012681","            767948","             97556","             27164","            838340","             52237","            786103","                  0","                  0","                  0","                  0","            786103","                  3.53"
